date,year,month,经度,纬度,风速
1979062200,1979,6,-54.7,14.2,35
1979071006,1979,7,-93.8,23.5,35
1979071712,1979,7,-60.3,17.8,35
1979082606,1979,8,-42.2,11.6,35
1979083012,1979,8,-36,11.5,35
1979083018,1979,8,-91.8,26.8,35
1979090612,1979,9,-33.8,22,35
1979091612,1979,9,-92.2,22.1,35
1979102403,1979,10,-64.4,34,35
1980080200,1980,8,-42.8,11,35
1980081412,1980,8,-37.3,14.7,35
1980082112,1980,8,-68,34,35
1980090621,1980,9,-68.6,33.6,35
1980090500,1980,9,-26.7,17.8,35
1980090515,1980,9,-92.8,29.1,40
1980090618,1980,9,-21.8,12.7,35
1980092106,1980,9,-81.6,15.1,35
1980100415,1980,10,-24,36.1,35
1980110909,1980,11,-85,20.4,35
1980112500,1980,11,-46,36,50
1981050712,1981,5,-80.6,19,35
1981062912,1981,6,-65,36,35
1981080315,1981,8,-65.3,38.5,35
1981080800,1981,8,-31.3,11.3,35
1981090100,1981,9,-69.7,29.9,35
1981090418,1981,9,-64,19,35
1981090721,1981,9,-59.8,15.4,35
1981091215,1981,9,-55.5,18.9,35
1981092306,1981,9,-40.8,12.5,35
1981103000,1981,10,-46.6,27.7,35
1981110406,1981,11,-81.4,18.3,35
1981111212,1981,11,-74,31,45
1982060303,1982,6,-85.4,22.7,35
1982061809,1982,6,-83.7,27.8,35
1982082818,1982,8,-22.7,13.9,35
1982091012,1982,9,-94.2,27.3,35
1982091412,1982,9,-71.9,23.5,35
1982100106,1982,10,-67.8,26.5,35
1983081515,1983,8,-90.8,27.3,35
1983082403,1983,8,-76.2,27.1,35
1983091100,1983,9,-63.3,31.6,35
1983092618,1983,9,-73,28,35
1984081912,1984,8,-56.4,38,35
1984082912,1984,8,-55,11.2,35
1984083112,1984,8,-45.3,14.9,35
1984083112,1984,8,-65,38.9,35
1984090812,1984,9,-77.4,28.5,35
1984091406,1984,9,-96.2,20.5,35
1984091618,1984,9,-24.8,14.8,35
1984091815,1984,9,-64.8,32,37
1984092318,1984,9,-59.1,29.2,35
1984092609,1984,9,-76.5,24.6,35
1984100809,1984,10,-71.2,24,35
1984110618,1984,11,-66.7,17,35
1984121212,1984,12,-60.5,34.5,50
1985071618,1985,7,-66.6,31.3,35
1985072218,1985,7,-83.8,26.2,35
1985081100,1985,8,-74,34,35
1985081400,1985,8,-87.8,23.7,35
1985082815,1985,8,-79,22.2,37
1985091615,1985,9,-67.3,25.5,35
1985091712,1985,9,-28.3,14.6,35
1985092306,1985,9,-74.3,35.3,35
1985100706,1985,10,-70.5,18.5,35
1985102612,1985,10,-92.5,23.8,35
1985111518,1985,11,-63.8,21.1,35
1986060600,1986,6,-77.5,29.7,35
1986062415,1986,6,-89.2,26.5,35
1986081518,1986,8,-78.5,32.2,35
1986090718,1986,9,-55.8,11.2,35
1986091100,1986,9,-51.6,22.4,35
1986111906,1986,11,-62.9,23.9,35
1987081118,1987,8,-74.4,29.4,35
1987080918,1987,8,-94,27.3,35
1987081818,1987,8,-26,15.1,35
1987090712,1987,9,-39.3,24.6,35
1987091012,1987,9,-25,10.8,35
1987092018,1987,9,-56.4,11.4,35
1987101012,1987,10,-82.2,16,35
1988080712,1988,8,-69,41.5,35
1988080812,1988,8,-89.4,29.7,35
1988082803,1988,8,-79.8,27.4,35
1988090203,1988,9,-94.9,20.6,35
1988090318,1988,9,-53.1,35.2,35
1988090712,1988,9,-18.5,13.8,35
1988090715,1988,9,-90.7,22.8,35
1988090918,1988,9,-60.1,14.5,35
1988092006,1988,9,-33.8,13.2,35
1988093018,1988,9,-56,11.4,35
1988101106,1988,10,-45,10.1,35
1988112006,1988,11,-83.4,16.3,35
1989062600,1989,6,-95.8,27.8,35
1989071100,1989,7,-48.2,17.7,35
1989080106,1989,8,-49.3,15.8,35
1989073106,1989,7,-91,25.4,35
1989081918,1989,8,-32.7,18.5,35
1989082618,1989,8,-22.9,17.2,35
1989083100,1989,8,-24.8,11.3,35
1989091118,1989,9,-29.2,12.5,35
1989091800,1989,9,-53.2,11.9,35
1989101300,1989,10,-93,20.4,35
1989113000,1989,11,-84.2,20.8,35
1990072412,1990,7,-56.8,10.5,35
1990072800,1990,7,-75.8,28.6,35
1990080200,1990,8,-32.3,15.4,35
1990080312,1990,8,-23.3,39.2,35
1990080500,1990,8,-83.6,16.6,35
1990081318,1990,8,-53.6,9,35
1990082500,1990,8,-49,13.3,35
1990082606,1990,8,-40,14.4,35
1990090512,1990,9,-32.7,10,35
1990092412,1990,9,-34.2,19.3,35
1990100318,1990,10,-59.6,16.2,35
1990100606,1990,10,-44,36,45
1990101006,1990,10,-82,24.1,35
1990101618,1990,10,-62.1,22.1,35
1991070321,1991,7,-72.1,35.7,35
1991081618,1991,8,-75.8,26.4,35
1991090512,1991,9,-56,26.2,35
1991090812,1991,9,-35,10.3,35
1991090918,1991,9,-53.1,29.3,35
1991101512,1991,10,-84.1,20.3,35
1991102606,1991,10,-65.5,27.2,35
1991102821,1991,10,-58.4,43.4,35
1992042203,1992,4,-61.3,24.7,37
1992081712,1992,8,-42,12.3,35
1992091806,1992,9,-58,33.7,35
1992092212,1992,9,-34,31.6,35
1992092215,1992,9,-74.4,32.6,37
1992092912,1992,9,-79.3,29.7,35
1992102215,1992,10,-61,26.4,35
1993060212,1993,6,-69.9,28.4,35
1993061912,1993,6,-95.9,25.9,35
1993080500,1993,8,-43.4,10.4,35
1993081418,1993,8,-60.9,14.5,35
1993082512,1993,8,-60.4,28,35
1993082412,1993,8,-34,15.4,35
1993090718,1993,9,-68.2,26.2,40
1993091512,1993,9,-83,11.3,35
1993092006,1993,9,-59,31.5,35
1994070200,1994,7,-87.1,23.7,35
1994081512,1994,8,-85.6,29.7,35
1994081700,1994,8,-41.2,11.7,35
1994090921,1994,9,-59.3,13.5,37
1994092212,1994,9,-30.3,11.8,35
1994110206,1994,11,-47.7,23.2,35
1994111018,1994,11,-82.7,14.6,35
1995060312,1995,6,-85.7,19.3,35
1995070706,1995,7,-71,31.6,35
1995071400,1995,7,-64.4,21.1,35
1995073018,1995,7,-94,28.6,35
1995073100,1995,7,-73.2,22.3,45
1995080818,1995,8,-36.4,15.5,35
1995081012,1995,8,-96.5,23.5,35
1995082206,1995,8,-34.3,13.7,35
1995082218,1995,8,-50.6,13.3,35
1995082312,1995,8,-79.7,26.4,35
1995082806,1995,8,-41.5,16.6,35
1995082900,1995,8,-29,11.6,35
1995091300,1995,9,-52.7,11.8,35
1995092712,1995,9,-40.6,12.1,35
1995093012,1995,9,-88.5,21.1,35
1995100512,1995,10,-37.5,10.2,35
1995100900,1995,10,-83.1,16.5,35
1995102100,1995,10,-55.1,16,35
1995102712,1995,10,-57.9,26.2,35
1996061900,1996,6,-78.7,31.5,35
1996070512,1996,7,-39,11,35
1996072509,1996,7,-67.3,12,35
1996081915,1996,8,-82.4,18,37
1996082206,1996,8,-31.6,13.2,35
1996082712,1996,8,-44.9,14.6,35
1996082806,1996,8,-32.7,10.6,35
1996090706,1996,9,-58.3,15.4,35
1996092506,1996,9,-28.5,10.3,35
1996100618,1996,10,-91.8,25.1,35
1996101115,1996,10,-86.8,17.1,37
1996101606,1996,10,-83.8,17.5,35
1996111906,1996,11,-80.9,13.8,35
1997060112,1997,6,-75.3,33.2,35
1997070106,1997,7,-75.4,31.8,35
